id,title,project_length,offered_payrate,category,experience_level,no_of_vacancy,status,description,client_id
16,Accounting Assistant I,72,49590,Writing,entry,10,open,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",29
17,Social Worker,169,52001,Accounting and Consulting,intermediate,1,close,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",13
18,Cost Accountant,153,66552,Writing,executive,3,close,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",22
19,Media Manager IV,83,86699,IT and Networking,entry,4,open,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,12
20,VP Sales,30,20321,Accounting and Consulting,intermediate,7,close,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",17
21,Health Coach I,154,310,IT and Networking,executive,10,open,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,27
22,Associate Professor,62,87083,Legal,executive,10,open,Sed ante. Vivamus tortor. Duis mattis egestas metus.,4
23,Speech Pathologist,118,95281,Sales and Marketing,intermediate,8,close,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,18
24,Electrical Engineer,161,31245,Design and Creative,intermediate,9,close,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,18
25,Account Representative I,52,62359,Customer Service,intermediate,3,open,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,30
26,Executive Secretary,178,40125,Legal,intermediate,7,open,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,18
27,Recruiter,137,55129,Design and Creative,executive,5,open,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",14
28,General Manager,30,84599,Engineering and Architecture,intermediate,10,open,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",14
29,Quality Control Specialist,113,42500,Data Science and Analytics,executive,7,open,In congue. Etiam justo. Etiam pretium iaculis justo.,15
30,Budget/Accounting Analyst II,67,53544,Legal,intermediate,4,open,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",17
31,Geologist II,117,49398,Customer Service,executive,7,open,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",7
32,Programmer I,142,2439,Customer Service,intermediate,9,open,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,30
33,Automation Specialist I,138,68435,Sales and Marketing,entry,5,open,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",16
34,Environmental Specialist,124,54252,Translation,intermediate,5,close,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2
35,Database Administrator I,121,21159,Customer Service,executive,3,open,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",9
36,Structural Engineer,30,81021,Design and Creative,entry,1,open,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,23
37,GIS Technical Architect,34,38064,Writing,intermediate,3,open,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,9
38,Clinical Specialist,116,54342,Sales and Marketing,entry,8,close,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",10
39,Sales Representative,12,15145,Design and Creative,executive,6,open,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,8
40,Web Designer IV,29,25989,Design and Creative,entry,4,open,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5
41,Structural Engineer,120,83841,Data Science and Analytics,executive,7,open,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,30
42,Dental Hygienist,135,60281,Engineering and Architecture,entry,5,close,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,4
43,Human Resources Assistant IV,99,34947,Design and Creative,executive,1,close,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,25
44,Assistant Professor,117,46845,Translation,entry,2,open,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",15
45,Software Engineer III,48,79273,Translation,executive,10,open,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",15
46,Actuary,40,10959,Translation,entry,2,open,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",12
47,Analyst Programmer,174,45627,Design and Creative,executive,1,close,Fusce consequat. Nulla nisl. Nunc nisl.,8
48,Speech Pathologist,109,53021,Accounting and Consulting,entry,3,close,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2
49,Marketing Assistant,50,46963,Customer Service,intermediate,2,open,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",10
50,Professor,139,50057,Accounting and Consulting,intermediate,2,open,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,20
51,Executive Secretary,112,26801,Engineering and Architecture,entry,2,open,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3
52,Executive Secretary,143,89379,Accounting and Consulting,intermediate,3,close,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",9
53,Environmental Tech,125,74443,Web Mobile and Software Dev,intermediate,4,open,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,29
54,Tax Accountant,42,61373,Sales and Marketing,executive,9,open,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",9
55,Developer II,162,57883,Sales and Marketing,entry,3,close,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,11
56,Chief Design Engineer,74,7122,Customer Service,intermediate,2,open,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,22
57,Media Manager I,38,36891,Accounting and Consulting,executive,5,open,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",19
58,Research Assistant IV,27,77206,Translation,intermediate,5,close,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",4
59,Recruiting Manager,106,56081,Admin Support,entry,10,close,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,24
60,Account Executive,17,31382,Customer Service,entry,6,open,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,27
61,Internal Auditor,87,23443,Writing,entry,1,open,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,11
62,Tax Accountant,133,99576,Translation,entry,8,open,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,9
63,Senior Cost Accountant,85,75317,Design and Creative,entry,1,open,Fusce consequat. Nulla nisl. Nunc nisl.,15
64,Occupational Therapist,15,30429,Sales and Marketing,entry,3,close,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,21
65,Environmental Specialist,173,62923,Data Science and Analytics,executive,6,open,Phasellus in felis. Donec semper sapien a libero. Nam dui.,22
66,Account Representative I,121,82758,Accounting and Consulting,executive,8,open,Sed ante. Vivamus tortor. Duis mattis egestas metus.,24
67,Mechanical Systems Engineer,110,790,Accounting and Consulting,entry,10,close,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,25
68,Marketing Manager,171,95749,IT and Networking,entry,3,open,Sed ante. Vivamus tortor. Duis mattis egestas metus.,4
69,Nurse Practicioner,37,9826,Web Mobile and Software Dev,entry,2,open,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",19
70,Tax Accountant,19,40122,Data Science and Analytics,executive,1,open,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,8
71,Administrative Assistant IV,120,20669,Sales and Marketing,entry,5,open,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2
72,Dental Hygienist,67,93100,Legal,executive,3,open,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",25
73,Technical Writer,66,19481,Design and Creative,intermediate,6,open,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",19
74,VP Product Management,125,17955,Translation,entry,7,open,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",22
75,Business Systems Development Analyst,179,30213,Data Science and Analytics,executive,6,close,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",27
76,Nurse,85,28580,Data Science and Analytics,entry,6,open,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,16
77,Geologist III,85,35000,IT and Networking,executive,3,close,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",14
78,Technical Writer,16,64209,Writing,executive,7,open,Sed ante. Vivamus tortor. Duis mattis egestas metus.,11
79,Project Manager,48,20887,IT and Networking,intermediate,7,open,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",21
80,Human Resources Manager,55,52233,Admin Support,entry,6,close,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,12
81,Graphic Designer,58,66403,Design and Creative,executive,10,close,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",25
82,Web Developer IV,8,72300,IT and Networking,intermediate,1,open,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",14
83,Marketing Manager,74,78502,Translation,intermediate,6,close,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,10
84,Quality Control Specialist,103,9186,IT and Networking,executive,9,close,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",4
85,Engineer II,12,85250,Legal,entry,8,open,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1
86,Business Systems Development Analyst,7,43393,Legal,executive,1,open,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3
87,VP Accounting,114,83621,Writing,intermediate,1,open,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",9
88,Administrative Officer,14,36132,Data Science and Analytics,executive,8,open,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",24
89,Teacher,175,78650,Admin Support,intermediate,7,open,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",28
90,Speech Pathologist,76,72778,Data Science and Analytics,entry,7,open,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,20
91,Librarian,13,76174,Data Science and Analytics,entry,8,open,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5
92,Desktop Support Technician,145,48549,Translation,entry,10,open,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,25
93,Mechanical Systems Engineer,146,68299,Accounting and Consulting,entry,10,close,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",9
94,Professor,16,26662,Data Science and Analytics,intermediate,2,close,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,9
95,Recruiting Manager,67,66515,Design and Creative,intermediate,5,close,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",18
96,Human Resources Assistant IV,140,43037,Web Mobile and Software Dev,intermediate,5,close,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3
97,Marketing Assistant,131,65908,Data Science and Analytics,entry,9,open,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,12
98,Professor,167,30216,Admin Support,entry,4,close,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",20
99,Software Engineer III,88,67840,Sales and Marketing,intermediate,1,open,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",19
100,Human Resources Assistant IV,173,15752,Accounting and Consulting,intermediate,4,close,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",8
