id,proposal_id,create_date,client_rating,freelancer_rating,client_rating_description,freelancer_rating_description,status
1112,1585,2018-01-08,2.3,2.6,Fusce posuere felis sed lacus.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",complete
1113,1900,2018-03-26,,,,,ongoing
1114,2087,2020-01-20,,,,,dispute
1115,1222,2019-06-17,,,,,ongoing
1116,635,2018-11-28,4.6,4.8,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Donec ut dolor.,complete
1117,2088,2018-01-19,2.2,1.6,Aenean sit amet justo.,Etiam vel augue.,cancelled
1118,1576,2019-09-04,,,,,dispute
1119,682,2018-05-19,,,,,dispute
1120,928,2018-05-24,2.6,4.7,Morbi non quam nec dui luctus rutrum.,In sagittis dui vel nisl.,complete
1121,2222,2020-03-04,4.1,4.5,Sed vel enim sit amet nunc viverra dapibus.,In hac habitasse platea dictumst.,cancelled
1122,644,2019-03-31,,,,,ongoing
1123,781,2018-08-03,4.4,3.6,Maecenas rhoncus aliquam lacus.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",complete
1124,1745,2019-06-11,,,,,dispute
1125,362,2019-02-09,3.6,1.9,Integer ac neque.,Cras in purus eu magna vulputate luctus.,complete
1126,809,2020-06-26,,,,,dispute
1127,2253,2020-05-25,,,,,dispute
1128,2263,2019-09-24,3.3,3.1,Duis aliquam convallis nunc.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",complete
1129,419,2018-07-17,4.6,2.3,Proin at turpis a pede posuere nonummy.,Duis ac nibh.,cancelled
1130,719,2018-04-02,,,,,dispute
1131,607,2020-09-12,,,,,dispute
1132,950,2020-01-11,4.4,3.4,Nulla suscipit ligula in lacus.,In hac habitasse platea dictumst.,cancelled
1133,1495,2020-04-09,2.0,2.9,Morbi porttitor lorem id ligula.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",cancelled
1134,2426,2018-03-11,3.2,2.2,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Suspendisse potenti.,complete
1135,1655,2018-11-05,2.1,2.6,Vivamus tortor.,Nullam porttitor lacus at turpis.,complete
1136,419,2019-03-25,,,,,ongoing
1137,1700,2018-01-23,3.9,4.9,Proin interdum mauris non ligula pellentesque ultrices.,Praesent blandit.,complete
1138,1233,2019-04-14,4.1,2.1,Duis consequat dui nec nisi volutpat eleifend.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",complete
1139,1139,2019-08-04,,,,,dispute
1140,649,2018-04-08,,,,,dispute
1141,934,2018-02-14,,,,,ongoing
1142,1990,2018-09-21,,,,,dispute
1143,2542,2018-12-07,,,,,ongoing
1144,1728,2019-07-07,,,,,ongoing
1145,2406,2018-03-27,2.5,1.5,Nam tristique tortor eu pede.,Proin risus.,complete
1146,1369,2019-07-28,2.9,2.3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Proin risus.,cancelled
1147,1413,2019-12-25,2.0,3.9,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,cancelled
1148,903,2018-08-30,,,,,ongoing
1149,764,2019-12-04,3.3,2.6,Fusce posuere felis sed lacus.,Nullam sit amet turpis elementum ligula vehicula consequat.,cancelled
1150,347,2018-12-09,4.2,2.4,Phasellus id sapien in sapien iaculis congue.,Maecenas rhoncus aliquam lacus.,complete
1151,946,2019-08-29,3.3,4.4,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Duis consequat dui nec nisi volutpat eleifend.,cancelled
1152,510,2018-01-08,,,,,dispute
1153,2565,2019-08-31,2.0,4.4,In hac habitasse platea dictumst.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",complete
1154,121,2018-10-01,,,,,dispute
1155,978,2020-03-29,,,,,ongoing
1156,452,2019-12-01,4.5,3.5,Ut tellus.,Aliquam quis turpis eget elit sodales scelerisque.,cancelled
1157,1440,2020-02-29,1.7,2.0,Mauris ullamcorper purus sit amet nulla.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",cancelled
1158,1573,2019-10-11,1.7,1.5,Vestibulum ac est lacinia nisi venenatis tristique.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,complete
1159,517,2019-08-29,,,,,ongoing
1160,248,2020-08-06,,,,,dispute
1161,1012,2018-01-08,4.8,2.6,Donec quis orci eget orci vehicula condimentum.,Phasellus sit amet erat.,cancelled
1162,586,2020-03-25,,,,,dispute
1163,616,2018-10-27,,,,,ongoing
1164,2201,2018-04-21,,,,,dispute
1165,400,2020-02-07,4.3,1.7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",complete
1166,1227,2018-07-02,3.1,1.9,Nulla tempus.,Nullam porttitor lacus at turpis.,complete
1167,518,2018-01-30,,,,,dispute
1168,1270,2019-07-23,,,,,ongoing
1169,1842,2018-04-15,,,,,dispute
1170,2182,2018-09-10,,,,,dispute
1171,2261,2019-09-09,,,,,dispute
1172,2562,2018-12-13,,,,,ongoing
1173,1212,2018-09-12,,,,,dispute
1174,819,2019-02-14,4.9,2.7,Suspendisse potenti.,Sed sagittis.,complete
1175,10,2020-01-02,,,,,dispute
1176,1947,2020-06-01,,,,,ongoing
1177,1406,2018-12-06,,,,,dispute
1178,2008,2020-09-13,2.2,4.2,Nunc rhoncus dui vel sem.,Phasellus sit amet erat.,cancelled
1179,639,2018-06-12,3.8,2.4,Quisque id justo sit amet sapien dignissim vestibulum.,Aenean sit amet justo.,complete
1180,1478,2020-03-08,,,,,ongoing
1181,179,2019-06-30,,,,,dispute
1182,1915,2018-09-04,,,,,ongoing
1183,538,2020-05-10,3.2,3.8,Morbi non quam nec dui luctus rutrum.,Pellentesque viverra pede ac diam.,cancelled
1184,125,2020-07-22,1.4,4.2,Curabitur gravida nisi at nibh.,Donec semper sapien a libero.,cancelled
1185,2387,2020-08-29,3.0,4.4,Donec dapibus.,Cras in purus eu magna vulputate luctus.,complete
1186,2301,2019-05-05,4.9,2.3,Aenean lectus.,Pellentesque eget nunc.,complete
1187,1953,2019-01-12,,,,,ongoing
1188,1984,2019-09-24,1.6,4.9,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Aenean auctor gravida sem.,complete
1189,178,2018-09-16,4.6,4.1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Vestibulum sed magna at nunc commodo placerat.,cancelled
1190,1336,2018-01-15,,,,,dispute
1191,1496,2019-11-24,,,,,ongoing
1192,2286,2019-07-08,4.2,3.1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",complete
1193,2320,2019-01-18,,,,,dispute
1194,1863,2018-11-12,,,,,dispute
1195,1650,2019-07-11,4.7,3.7,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",complete
1196,609,2018-05-06,1.4,2.2,Donec posuere metus vitae ipsum.,Mauris sit amet eros.,complete
1197,492,2020-07-07,2.3,3.7,Phasellus sit amet erat.,Integer ac neque.,complete
1198,1984,2019-02-14,,,,,dispute
1199,1718,2018-08-26,3.2,1.1,Sed sagittis.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",cancelled
1200,1511,2018-01-09,,,,,dispute
1201,2452,2018-03-12,4.3,4.6,Nunc rhoncus dui vel sem.,Duis at velit eu est congue elementum.,cancelled
1202,2450,2020-02-16,1.9,1.0,Aliquam sit amet diam in magna bibendum imperdiet.,Cras non velit nec nisi vulputate nonummy.,cancelled
1203,2408,2019-04-06,3.4,4.1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Aenean auctor gravida sem.,complete
1204,347,2018-09-29,5.0,1.0,Aliquam erat volutpat.,Sed sagittis.,cancelled
1205,1200,2018-01-24,3.1,1.2,Pellentesque viverra pede ac diam.,Phasellus sit amet erat.,cancelled
1206,2144,2020-06-12,,,,,ongoing
1207,2363,2019-10-20,,,,,ongoing
1208,1686,2018-10-23,,,,,dispute
1209,2233,2019-08-05,,,,,ongoing
1210,773,2018-11-02,,,,,ongoing
1211,1667,2020-07-02,,,,,ongoing
1212,1628,2018-05-09,,,,,ongoing
1213,1869,2019-10-25,,,,,dispute
1214,863,2018-10-01,,,,,ongoing
1215,1333,2018-03-10,,,,,ongoing
1216,2067,2019-10-19,,,,,ongoing
1217,1010,2020-07-06,,,,,dispute
1218,1475,2020-07-20,,,,,ongoing
1219,699,2019-07-26,2.2,3.9,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Pellentesque viverra pede ac diam.,cancelled
1220,376,2019-03-10,,,,,ongoing
1221,946,2018-08-08,,,,,ongoing
1222,1646,2019-08-22,,,,,ongoing
1223,1285,2018-05-07,,,,,dispute
1224,2132,2019-10-04,4.3,4.4,In hac habitasse platea dictumst.,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",cancelled
1225,1292,2018-04-09,2.9,4.8,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Integer non velit.,complete
1226,1603,2020-08-12,1.4,2.3,Nunc rhoncus dui vel sem.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",cancelled
1227,159,2020-08-04,,,,,ongoing
1228,279,2018-11-25,,,,,dispute
1229,641,2018-04-04,,,,,ongoing
1230,1165,2019-08-23,,,,,dispute
1231,1422,2018-12-30,2.0,2.0,Sed ante.,Aliquam sit amet diam in magna bibendum imperdiet.,cancelled
1232,2081,2020-02-27,3.2,4.5,Aliquam erat volutpat.,Proin interdum mauris non ligula pellentesque ultrices.,cancelled
1233,234,2018-02-08,1.5,1.8,Suspendisse potenti.,Integer a nibh.,cancelled
1234,717,2019-06-14,,,,,ongoing
1235,1996,2018-08-09,,,,,ongoing
1236,2167,2019-05-14,,,,,dispute
1237,1003,2019-06-08,3.0,3.6,Suspendisse potenti.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",cancelled
1238,1614,2019-07-22,,,,,ongoing
1239,2155,2019-10-03,3.7,1.7,Nulla tellus.,Nunc nisl.,cancelled
1240,1403,2019-07-26,1.4,4.1,Nunc purus.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",cancelled
1241,1968,2019-08-09,1.1,4.5,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Vivamus vestibulum sagittis sapien.,cancelled
1242,978,2020-07-18,,,,,dispute
1243,947,2018-02-24,,,,,ongoing
1244,978,2018-01-08,2.7,2.6,In hac habitasse platea dictumst.,Pellentesque viverra pede ac diam.,complete
1245,1301,2019-12-18,1.4,4.4,Morbi non quam nec dui luctus rutrum.,Nulla tempus.,complete
1246,1724,2018-12-22,2.4,4.1,Vestibulum rutrum rutrum neque.,Vivamus vestibulum sagittis sapien.,cancelled
1247,757,2019-09-08,4.1,2.2,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",cancelled
1248,2021,2018-04-16,,,,,ongoing
1249,251,2018-03-29,,,,,dispute
1250,2205,2019-07-11,,,,,dispute
1251,1819,2018-02-01,1.7,3.8,Curabitur in libero ut massa volutpat convallis.,Praesent blandit.,complete
1252,2524,2019-11-15,,,,,dispute
1253,2158,2018-05-27,1.6,4.7,Duis consequat dui nec nisi volutpat eleifend.,Praesent blandit lacinia erat.,complete
1254,1169,2018-07-07,1.2,4.2,In eleifend quam a odio.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",complete
1255,737,2020-02-16,,,,,dispute
1256,2064,2020-07-03,,,,,dispute
1257,1504,2020-03-18,3.8,2.4,Donec posuere metus vitae ipsum.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",complete
1258,1298,2019-07-25,4.5,4.0,Vestibulum ac est lacinia nisi venenatis tristique.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,cancelled
1259,749,2018-05-29,,,,,ongoing
1260,588,2019-06-17,,,,,dispute
1261,524,2020-07-27,1.9,3.9,Etiam justo.,Nullam varius.,complete
1262,751,2019-04-16,3.2,2.8,Fusce consequat.,Donec semper sapien a libero.,complete
1263,1124,2018-06-04,,,,,dispute
1264,545,2019-08-04,,,,,ongoing
1265,951,2019-06-01,4.9,2.5,Donec semper sapien a libero.,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",cancelled
1266,2250,2018-06-05,,,,,dispute
1267,545,2020-08-05,1.4,3.2,Pellentesque eget nunc.,Cras non velit nec nisi vulputate nonummy.,cancelled
1268,2436,2018-02-27,2.6,4.6,Integer a nibh.,Pellentesque eget nunc.,cancelled
1269,1788,2019-02-11,,,,,dispute
1270,1263,2019-02-20,,,,,dispute
1271,507,2018-02-16,,,,,ongoing
1272,2487,2020-02-19,3.6,2.7,Aliquam erat volutpat.,Maecenas rhoncus aliquam lacus.,complete
1273,1175,2019-09-27,2.4,3.7,Duis aliquam convallis nunc.,Vivamus vel nulla eget eros elementum pellentesque.,complete
1274,1000,2019-06-28,1.5,4.9,Donec dapibus.,Morbi vel lectus in quam fringilla rhoncus.,complete
1275,1991,2018-05-18,4.2,3.3,Nulla tellus.,Aliquam sit amet diam in magna bibendum imperdiet.,cancelled
1276,1018,2018-12-27,3.2,4.3,Morbi vel lectus in quam fringilla rhoncus.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",cancelled
1277,2338,2018-10-21,,,,,ongoing
1278,708,2020-06-28,2.9,4.9,Nam dui.,Mauris lacinia sapien quis libero.,complete
1279,1474,2020-08-25,2.3,1.5,Etiam justo.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",cancelled
1280,135,2019-09-24,4.6,1.5,Fusce posuere felis sed lacus.,Praesent blandit.,cancelled
1281,823,2019-01-18,1.4,1.2,Vestibulum ac est lacinia nisi venenatis tristique.,Cras non velit nec nisi vulputate nonummy.,complete
1282,870,2019-11-08,1.0,2.7,Morbi porttitor lorem id ligula.,Aenean fermentum.,complete
1283,1204,2018-05-16,,,,,dispute
1284,1138,2020-05-15,4.7,3.4,Morbi non quam nec dui luctus rutrum.,In congue.,cancelled
1285,372,2019-06-12,,,,,ongoing
1286,668,2019-09-16,3.4,3.9,In quis justo.,Suspendisse potenti.,cancelled
1287,2449,2018-03-21,4.9,2.3,Ut tellus.,Nulla suscipit ligula in lacus.,cancelled
1288,2037,2020-02-05,2.8,3.8,Vestibulum ac est lacinia nisi venenatis tristique.,Morbi quis tortor id nulla ultrices aliquet.,cancelled
1289,1310,2019-10-11,3.6,4.7,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Pellentesque at nulla.,cancelled
1290,2157,2019-07-08,,,,,dispute
1291,2112,2018-03-24,1.8,2.5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",cancelled
1292,1795,2018-09-24,,,,,dispute
1293,2083,2020-01-15,2.5,1.3,Phasellus id sapien in sapien iaculis congue.,Duis bibendum.,cancelled
1294,1335,2019-06-07,,,,,ongoing
1295,1911,2019-05-25,4.4,2.3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",cancelled
1296,2299,2020-08-04,4.2,2.6,Vestibulum rutrum rutrum neque.,Nullam molestie nibh in lectus.,complete
1297,961,2020-07-19,,,,,dispute
1298,2100,2019-03-02,,,,,dispute
1299,1566,2019-04-02,,,,,dispute
1300,1299,2019-05-09,,,,,dispute
1301,711,2018-03-24,4.5,2.7,Proin eu mi.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",cancelled
1302,2038,2020-08-23,,,,,dispute
1303,1797,2018-05-13,,,,,ongoing
1304,2305,2020-08-28,4.7,2.4,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Donec quis orci eget orci vehicula condimentum.,complete
1305,1226,2018-03-21,,,,,ongoing
1306,476,2018-05-15,,,,,dispute
1307,2273,2018-06-05,,,,,dispute
1308,102,2019-11-29,,,,,dispute
1309,575,2020-01-24,,,,,dispute
1310,2021,2018-04-07,,,,,ongoing
1311,743,2018-12-28,4.9,2.6,Pellentesque ultrices mattis odio.,Phasellus in felis.,cancelled
1312,2295,2019-08-27,4.7,1.9,Morbi a ipsum.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",cancelled
1313,844,2018-11-13,3.8,4.7,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Suspendisse potenti.,cancelled
1314,1529,2019-03-02,,,,,dispute
1315,1388,2020-05-17,4.0,1.7,Sed accumsan felis.,Integer ac leo.,complete
1316,909,2019-04-25,2.7,4.3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Mauris lacinia sapien quis libero.,cancelled
1317,1111,2020-06-30,,,,,ongoing
1318,435,2019-08-23,,,,,dispute
1319,113,2020-03-09,4.9,3.9,Nam tristique tortor eu pede.,Proin risus.,complete
1320,1219,2019-04-22,,,,,dispute
